"","treated_unit","V2","V3","V4","V6","V7","V8","V9","V10","welcome","disclosure","Introcommu","oftenmbta","PoliID","ideology","party","obama","X2010","election","intoviews","numberim","Remain","Englishlan","raceintro","Asians","AfAms","Hispanics","MiddleEast","IntroDemo","Illegal_ma","illegal_us","age","residency","Friends","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community","Crime","Diverse","wealthcomm","Comments","End","assignment","line","station","train","time","treatment","white","residency.new","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","obama.voter","romney.voter","college","us.born","hispanic.new","income.new","male","missing"
"167","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"71.232.10.224",0,"2012-07-18 19:42:19","2012-07-18 19:53:47",1,1,1,1,4,1,3,1,2,5,2,1,5,5,1,1,4,2,2,5,1,10,25,18,3,2,NA,NA,NA,1,NA,2,2,5,1,6,1,3,3,3,"",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,1,7.5,0,0,1,0,1,0,1,1,1,0,1,1,0,115000,0,0
"168","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"134.241.58.97",0,"2012-07-23 17:06:21","2012-07-23 17:40:39",1,1,1,1,4,1,3,4,3,NA,NA,1,3,3,3,1,4,3,3,3,1,50,50,1,1,1,NA,NA,NA,NA,1,2,2,2,NA,1,1,3,3,3,"",1,"t2c","Franklin","Dedham Corp Center","732","8:11",1,0,1,0,0,0,0,0,0,1,NA,0,0,0,1,0,10000,0,1
"169","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"65.47.147.130",0,"2012-07-18 15:08:05","2012-07-18 15:13:09",1,1,1,1,4,1,2,2,1,5,1,1,1,1,3,1,1,1,1,1,1,2,3,43,5,0,NA,NA,NA,1,NA,2,1,5,1,8,1,3,4,3,"",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,1,8.03370786516854,1,0,0,0,1,0,1,1,1,0,1,1,0,250000,1,0
"170","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"132.183.13.26",0,"2012-07-19 08:07:39","2012-07-19 08:19:20",1,1,1,1,4,1,3,3,5,2,7,1,5,3,1,1,1,1,1,1,1,20,30,30,4,30,NA,NA,NA,1,NA,2,2,6,2,5,1,1,3,3,":)",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,1,12.5,0,0,0,1,0,1,1,0,0,1,1,0,0,87500,0,1
"171","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"8.20.184.6",0,"2012-07-18 06:51:49","2012-07-18 06:55:08",1,1,1,1,1,1,4,3,5,5,7,1,5,4,1,1,1,4,4,4,1,10,28,14,1,0,NA,NA,NA,1,NA,2,1,2,1,5,1,5,4,3,"",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,87500,1,1
"172","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"66.181.94.5",0,"2012-07-19 07:42:37","2012-07-19 07:57:21",1,1,1,1,4,1,4,2,4,5,6,1,3,1,1,1,1,1,1,4,1,3,10,26,4,3,NA,NA,NA,1,NA,2,1,5,1,7,1,3,4,2,"The USA was build by emmegrants, It is important to keep the door open for people with the skills that are lacking in the US.",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,1,12.5,0,1,0,0,0,1,1,1,0,1,1,1,0,135000,1,1
"173","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"143.115.159.53",0,"2012-07-18 06:59:00","2012-07-18 07:17:18",1,1,1,1,4,1,3,4,2,1,2,1,2,1,5,1,1,1,1,1,1,3,3,8,2,6,1,NA,NA,NA,NA,2,2,5,1,7,1,3,3,3,"",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,0,3.5,0,0,0,0,1,0,1,0,1,0,1,1,0,135000,0,0
"174","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"72.11.223.66",0,"2012-08-03 08:49:01","2012-08-03 09:04:22",1,1,1,1,4,1,3,4,1,1,1,1,3,5,1,1,1,1,1,1,1,1,8,12,2,3,1,NA,NA,NA,NA,2,2,6,2,7,1,3,3,2,"",1,"t4c","Franklin","Dedham Corp Center","732","8:11",1,0,3.5,0,0,0,0,1,0,1,0,1,0,1,0,0,135000,0,1
"175","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"205.135.168.10",0,"2012-07-25 15:10:31","2012-07-25 15:16:34",1,1,1,1,4,1,2,1,2,3,1,1,3,2,1,1,1,1,1,1,1,5,15,26,4,2,1,NA,NA,NA,NA,2,2,6,2,7,1,3,4,3,"",1,"t2c","Franklin","Dedham Corp Center","732","8:11",1,0,12.5,1,0,1,0,1,0,1,0,1,0,1,0,0,135000,0,1
"176","Franklin_Dedham Corp Center_732","Default Response Set","Anonymous",NA,"173.76.90.136",0,"2012-07-21 14:41:20","2012-07-21 15:30:33",1,1,1,1,4,1,4,2,3,5,3,1,4,2,3,1,1,1,1,2,1,30,30,30,1,2,1,NA,NA,NA,NA,2,2,6,2,7,1,3,3,3,"",1,"T2a","Franklin","Dedham Corp Center","732","8:11",1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,135000,0,1
