"","V2","V3","V4","V6","V7","V8","V9","V10","random","informed","Intro","Age","residency","Friends","MaleFemale","Race_1","Race_2","Race_3","Race_4","Race_5","Hispanic","education","citizen","Work","Income","ideology","partyID","Obama","X2010voting","election","intro2","immigrantN","deport","englishlaw","intro3","Asians","Blacks","Hispanics","MiddleEast","intro4","percentMA","percent_il","face_intro","Andres","Andres_age","Andre_race_1","Andre_race_2","Andre_race_3","Andre_race_4","andresclas","andres_his","andres_pic","andres_des","andres_ori","andres_pic.1","andres_loc","andres_job","intro","car_pic","car_age","car_race_1","car_race_2","car_race_3","car_race_4","car_class","car_hispan","car_pic.1","car_desc","car_origin","car_pic.2","car_loc","car_job","car_inst","fab_pic","fab_age","fab_race_1","fab_race_2","fab_race_3","fab_race_4","fab_class","fab_hispan","fab_pic.1","fab_descri","fab_origin","fab_pic.2","fab_locati","fab_job","fab_inst","jose_pic","jose_age","jose_race_1","jose_race_2","jose_race_3","jose_race_4","jose_class","jose_hisp","jose_pic.1","jose_descr","jose_origi","jose_pic.2","jose_loc","jose_job","jose_inst","raf_pic","raf_age","raf_race_1","raf_race_2","raf_race_3","raf_race_4","raf_class","raf_hispan","raf_pic.1","raf_descri","raf_origin","raf_pic.2","raf_loc","raf_job","raf_inst","vic_pic","vic_age","vic_race_1","vic_race_2","vic_race_3","vic_race_4","vic_class","vic_hisp","vic_pic.1","vic_descri","vic_origin","Q327","vic_locati","vic_job","vic_inst","hugo_pic","hugo_age","hugo_race_1","hugo_race_2","hugo_race_3","hugo_race_4","hugo_class","hugo_hispa","hugo_pic.1","hugo_descr","hugo_origi","hugo_pic.2","hugo_locat","hugo_job","hugo_inst","andres_pic.2","andres_stu","andres_pic.3","andres_for","andres_pic.4","andres_com","andres_pic.5","andres_pro","andres_pic.6","andres_ind","andres_pic.7","andres_UE","andres_pic.8","andres_cap","andres_pic.9","andres_imm","Andres_pic","Andres_intimidating","Andres_pic.1","Andres_fri","Andres_pic.2","Andres_app","Andres_pic.3","Andres_IQ","Andres_pic.4","Andres_unu","Andres_pic.5","andres_nor","andres_pic.10","Andres_suc","andres_pic.11","andres_wea","andres_pic.12","andres_you","comments","car_pic.3","car_studen","car_pic.4","car_foreig","car_pic.5","car_commut","car_pic.6","car_profes","car_pic.7","car_indust","car_pic.8","car_UE","car_pic.9","car_cap","car_pic.10","car_immigr","car_pic.11","car_intimd","car_pic.12","car_friend","car_pic.13","Car_approa","car_pic.14","car_IQ","car_pic.15","car_unusua","car_pic.16","car_normal","car_pic.17","car_succes","car_pic.18","car_young","car_pic.19","car_wealth","fab_pic.3","fab_studen","fab_pic.4","fab_foreig","fab_pic.5","fab_commut","fab_pic.6","fab_profes","fab_pic.7","fab_indust","fab_pic.8","fab_UE","fab_pic.9","fab_capabl","fab_pic.10","fab_immigr","fab_pic.11","fab_intimi","fab_pic.12","fab_approa","fab_pic.13","fab_IQ","fab_pic.14","fab_unusua","fab_pic.15","fab_norm","fab_pic.16","fab_succes","fab_pic.17","fab_wealth","fab_pic.18","fab_young","Fab_pic","fab_friend","jose_pic.3","jose_stude","jose_pic.4","jose_forei","jose_pic.5","jose_commu","jose_pic.6","jose_prof","jose_pic.7","jose_UE","jose_pic.8","jose_indus","jose_pic.9","jose_capab","jose_pic.10","jose_immig","jose_pic.11","jose_intim","jose_pic.12","jose_frien","jose_pic.13","jose_appro","jose_pic.14","jose_IQ","jose_pic.15","jose_unusu","jose_pic.16","jose_norma","jose_pic.17","jose_succe","jose_pic.18","jose_wealt","jose_pic.19","jose_young","raf_pic.3","raf_studen","raf_pic.4","raf_foreig","raf_pic.5","raf_commut","raf_pic.6","raf_profes","raf_pic.7","raf_indust","raf_pic.8","raf_UE","raf_pic.9","raf_capabl","raf_pic.10","raf_immigr","raf_pic.11","raf_intimi","raf_pic.12","raf_approa","raf_pic.13","raf_friend","raf_pic.14","raf_norm","raf_pic.15","raf_succes","raf_pic.16","raf_wealth","raf_pic.17","raf_unusua","raf_pic.18","raf_young","raf_pic.19","raf_IQ","vic_pic.2","vic_commut","vic_pic.3","vic_studen","vic_pic.4","vic_foreig","vic_pic.5","vic_profes","vic_pic.6","vic_indust","vic_pic.7","vic_UE","vic_pic.8","vic_capabl","vic_pic.9","vic_immigr","vic_pic.10","vic_intimi","vic_pic.11","vic_friend","vic_pic.12","vic_approa","vic_pic.13","vic_IQ","vic_pic.14","vic_unusua","vic_pic.15","vic_normal","vic_pic.16","vic_succes","vic_pic.17","vic_wealth","vic_pic.18","Vic_young","hugo_pic.3","hugo_student","hugo_pic.4","hugo_forei","hugo_pic.5","hugo_commu","hugo_pic.6","hugo_prof","hugo_pic.7","hugo_indus","hugo_pic.8","hugo_UE","hugo_pic.9","hugo_capab","hugo_pic.10","hugo_immig","hugo_pic.11","hugo_intim","hugo_pic.12","hugo_frien","hugo_pic.13","hugo_appro","hugo_pic.14","hugo_IQ","hugo_pic.15","hugo_unusu","hugo_pic.16","hugo_norma","hugo_pic.17","hugo_succe","hugo_pic.18","hugo_wealt","hugo_pic.19","hugo_young"
"8","Default Response Set","Anonymous",NA,"24.115.1.12",0,"2012-09-05 07:21:39","2012-09-05 07:27:37",1,7431214,1,NA,7,4,2,2,NA,NA,NA,1,NA,2,5,1,1,3,1,1,1,5,7,1,2,1,2,1,1,1,1,1,1,10,12,1,1,6,1,NA,NA,NA,4,0,1,"This person is kind and hardworking. He is a college student and works part time as a sales associate at a retail store. He has a girlfriend and enjoys playing sports, hanging out with friends, and going to concerts in his free time.","New Jersey",1,"I would expect to find this person on an average college campus. I would also expect to find someone like this working in a retail store. I think in his free time he could be found in local sports bars hanging out with friends.","sales associate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,5,1,2,1,3,1,4,1,4,1,1,1,5,1,2,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,3,1,4,"Interesting survey!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Default Response Set","Anonymous",NA,"66.213.14.59",0,"2012-09-05 07:21:39","2012-09-05 07:28:58",1,7140568,1,NA,10,1,3,2,NA,NA,NA,1,NA,2,6,1,1,6,2,1,2,1,7,1,4,5,4,1,1,3,3,10,1,5,10,1,1,6,1,NA,NA,NA,4,1,1,"It is a photo of a handsome young kid, probably in his early 20's, with a black shirt on. He has dark hair and eyes, and might be of Hispanic decent.","US",1,"He is very average looking, possibly at school, work, out to eat.","Graphic Design",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,3,1,2,1,3,1,2,1,2,1,4,1,2,1,3,1,4,1,5,1,4,1,2,1,5,1,3,1,3,1,4,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:25:29","2012-09-05 07:29:15",1,7277663,1,NA,19,2,3,1,NA,NA,NA,1,NA,2,5,1,1,3,2,2,2,3,5,1,2,3,4,1,5,4,3,10,1,10,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,3,1,NA,NA,NA,3,0,1,"boy","no idea",1,"coffee shop","sales person",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no comment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,1,3,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,1,3,1,4,1,4,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Default Response Set","Anonymous",NA,"98.231.178.2",0,"2012-09-05 07:24:38","2012-09-05 07:31:10",1,3432368,1,NA,5,1,0,2,NA,NA,NA,1,NA,2,5,1,5,1,2,3,2,5,6,1,4,2,3,1,2,1,1,1,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,13,1,NA,NA,NA,4,0,1,"This person is a hard-working business student.  He wants to open his own restaurant soon.  He has many friends and goes out with them often.","New York City",1,"I would expect to find this person walking on the street or in a coffee shop.","Small corporate office",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,2,1,4,1,5,1,2,1,5,1,1,1,3,1,3,1,4,1,5,1,2,1,5,1,4,1,3,1,4
"12","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:29:23","2012-09-05 07:34:58",1,617750,1,NA,43,2,10,1,NA,NA,NA,1,NA,2,6,1,1,4,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,NA,NA,NA,4,1,1,"A well groomed young man. I think he is respectful and obeys the law.","El Savlvador",1,"Anywhere, on the street, in a shop, ...","student or service job",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no comment, thank you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,3,1,2,1,3,1,4,1,4,1,4,1,3,1,1,1,5,1,4,1,1,1,5,1,3,1,3,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:27:26","2012-09-05 07:35:46",1,9473813,1,NA,11,2,0,2,NA,NA,NA,1,NA,2,5,1,2,5,1,1,1,1,7,1,2,2,1,1,1,2,1,8,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,13,0,NA,1,NA,3,1,1,"He has a tan complexion and a prominent mole on his chin. He has dark features; his eyes are brown and his hair is almost black. He is of a husky build.","Mexico",1,"I would expect to run into this person at a gas station.","Construction",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,1,3,1,2,1,3,1,3,1,4,1,5,1,2,1,4,1,3,1,2,1,4,1,2,1,2,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:25:17","2012-09-05 07:36:06",1,280668,1,NA,40,5,0,1,NA,NA,NA,1,NA,2,5,1,3,2,2,1,2,5,7,1,2,2,4,1,1,1,1,1,1,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,9,1,NA,NA,NA,4,0,1,"a regular guy with dark hair and eyes. he could use a shave.","USA",1,"Anywhere.","auto mechanic",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't judge a book by its cover!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,4,1,4,1,4,1,3,1,4,1,3,1,1,1,2,1,4,1,5,1,3,1,3,1,1,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:30:16","2012-09-05 07:36:09",1,4761691,1,NA,13,1,4,2,1,NA,NA,NA,NA,2,5,1,1,4,2,1,2,5,7,1,2,2,3,1,1,1,1,1,1,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,1,1,NA,NA,NA,4,0,1,"Brown hair, brown eyes, white shirt.","Nebraska",1,"At school","lifeguard",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I forgot to hit the ""Accept"" button on the mturk window after I clicked the link to the survey so it appears I only spent a minute or so on this when really I spent more.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,2,1,2,1,3,1,2,1,3,1,2,1,1,1,3,1,4,1,3,1,1,1,3,1,3,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Default Response Set","Anonymous",NA,"",0,"2012-09-05 07:29:44","2012-09-05 07:37:25",1,289113,1,NA,9,1,1,2,NA,NA,NA,1,NA,2,6,1,3,2,2,3,2,5,7,1,5,2,2,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,1,0,NA,1,NA,2,0,1,"The person is a teenage boy with dark hair and eyes, thick eyebrows, and a narrow mouth.  He is wearing a white t-shirt and smiling slightly.","USA",1,"Attending high school or working an after-school job.","Fast food or retail",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,1,1,4,1,5,1,4,1,1,1,5,1,3,1,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
