"","V2","V3","V4","V6","V7","V8","V9","V10","random","informed","Intro","Age","residency","Friends","MaleFemale","Race_1","Race_2","Race_3","Race_4","Race_5","Hispanic","education","citizen","Work","Income","ideology","partyID","Obama","X2010voting","election","intro2","immigrantN","deport","englishlaw","intro3","Asians","Blacks","Hispanics","MiddleEast","intro4","percentMA","percent_il","face_intro","face8","face8_age","face8_race_1","face8_race_2","face8_race_3","face8_race_4","face8clas","face8_his","face8.1","face8_des","face8_ori","face8.2","face8_loc","face8_job","intro","face9","face9_age","face9_race_1","face9_race_2","face9_race_3","face9_race_4","face9_clas","face9_hisp","face9.1","face9_desc","face9_orig","face9.2","face9_loc","face9_job","face9.3","face10","face10_age","face10race_1","face10race_2","face10race_3","face10race_4","face10clas","face10_hispanc","face10.1","face10desc","face10orig","face10.2","face10loca","face10job","face10inst","face11","face11_age","face11race_1","face11race_2","face11race_3","face11race_4","face11clas","face11_hispanc","face11.1","face11desc","face11orig","face11.2","face11loc","face11job","face11inst","face12","face12_age","face12race_1","face12race_2","face12race_3","face12race_4","fac12class","face12_hispanc","face12.1","face12desc","face12orig","face12.2","face12loc","face12loc.1","face12.3","face13","face13_age","face13race_1","face13race_2","face13race_3","face13race_4","face13clas","face13_hispanc","face13.1","face13desc","face13orig","face13.2","face13loc","face13job","face13inst","face14","face14_age","face14race_1","face14race_2","face14race_3","face14race_4","face14clas","face14_hispanc","face14.1","face14desc","face14orig","face14.2","face14oc","face14job","face14inst","face8.3","face8stud","face8.4","face8_for","face8.5","face8_com","face18_pic","face8_pro","face8.6","face8_ind","face8.7","face8_UE","face8.8","face8_capa","face8.9","face8_imm","face8.10","face8_inti","face8.11","face8_frie","face8.12","face8_app","face8_pic","face8_IQ","face8.13","face8_unus","face8.14","face8_norm","face8.15","face8_suc","face8.16","face8_weal","face8.17","face8_youn","comments","face9.4","face9_stud","face9.5","face9_fore","face9.6","face9_comm","face9.7","face9_prof","face9.8","face9_indu","face9.9","face9_UE","face9.10","face9_cap","face9.11","face9_imm","face9.12","face0intim","face9.13","face9_frie","face9_pic","face9_appr","face9.14","face9_IQ","face9.15","face9_unus","face9.16","face9_norm","face9.17","face9_succ","face9.18","face9_youn","face9.19","face9_weal","face10.3","face10stud","face10.4","face10_for","face10.5","face10_com","face10pic","face10_prof","face10.6","face10_ind","face10.7","face10_UE","face10.8","face10_cap","face10.9","face10_imm","face10.10","face10inti","face10.11","face10appr","face10.12","face10_IQ","face10.13","face10unus","face10.14","face10_norm","face10.15","face10succ","face10.16","face10weal","face10.17","face10youn","face10.18","face10_frie","face11.3","face11stud","face11.4","face11_for","face11.6","face11_com","face11.7","face11_prof","face11.8","face11_UE","face11.9","face11indu","face11.10","face11capa","face11.11","face11_imm","face11.12","face11inti","face11.13","face11_frie","face11.14","face11appr","face11pic","face11IQ","face11.15","face11unus","face11.16","face11_norm","face11.17","face11succ","face11.18","face11weal","face11.19","face11youn","face12.4","face12_stu","face12.5","face12_for","face12.6","face12_com","face12.7","face12_prof","face12.8","face12indu","face12.9","face12_UE","face12.10","face12_cap","face12.11","face12_imm","face12.12","face12inti","face12.13","face12appr","face12.14","face12_frie","face12.15","face12_norm","face12.16","face12succ","face12.17","face12weal","face12nus","face12unus","face12.18","fac12young","face12.19","face12IQ","face13.3","face13_com","face13.4","face13_student","face13.6","face13_for","face13.7","face13_prof","face13.8","face13indu","face13.9","face13UE","face13.10","face13cap","face13.11","face13_imm","face13.12","face13inti","face13.13","face13_frie","face13.14","face13appr","face13.15","face13IQ","face13.16","face13unus","face13.17","face13_norm","face13.18","face13succ","face13.19","face13weal","face13.20","face13youn","face14.3","face14stud","face14.4","face14_for","face14.6","face14_com","face14.7","face14_prof","face14.8","face14indu","face14.9","face14_UE","face14.10","face14capa","face14.11","face14_imm","face14.12","face14inti","face14.13","face14_frie","face14.14","face14appr","face14.15","face14IQ","face14.16","face14unus","face14.17","face14_norm","face14.18","face14succ","face14.19","face14weal","face14.20","face14youn"
"32","Default Response Set","Anonymous",NA,"76.22.28.131",0,"2012-09-27 17:04:30","2012-09-27 17:15:51",1,4654919,1,NA,34,3,0,1,NA,NA,NA,1,NA,2,5,1,1,6,1,1,2,5,7,1,2,2,2,1,1,1,1,8,1,10,15,1,1,3,1,NA,NA,NA,4,0,1,"Young white male 19 years old. Messy short red blond hair.Blue eyes. wearing light brown jacket.","U.S.",1,"Anywhere in my neighborhood","Retail clerk",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,2,1,4,1,2,1,2,1,4,1,3,1,3,1,1,1,3,1,3,1,4,1,1,1,4,1,2,1,1,1,5,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Default Response Set","Anonymous",NA,"69.146.60.21",0,"2012-09-27 17:41:39","2012-09-27 17:48:10",1,2117899,1,NA,8,5,3,2,NA,NA,NA,1,NA,2,3,1,5,2,2,1,2,5,7,1,4,2,1,1,1,3,3,8,1,15,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,11,1,NA,NA,NA,4,0,1,"She is a white female with brown eyes, and short curly blonde/light brown hair.","America",1,"Possibly at school, or at the grocery store.","Teacher",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,2,1,3,1,2,1,2,1,4,1,1,1,1,1,4,1,4,1,3,1,1,1,4,1,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Default Response Set","Anonymous",NA,"68.48.127.70",0,"2012-09-27 17:44:23","2012-09-27 17:50:25",1,5573731,1,NA,21,2,5,1,NA,NA,NA,1,NA,2,6,1,1,6,2,3,2,1,7,1,2,3,5,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,5,1,NA,NA,NA,4,0,1,"Young, white male with dark blond hair and blue eyes, wearing a hoodie sweatshirt.","Iowa",1,"In school (college)","grocery store",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,2,1,2,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Default Response Set","Anonymous",NA,"67.242.192.164",0,"2012-09-27 18:27:21","2012-09-27 18:33:55",1,6798742,1,NA,6,6,0,2,NA,NA,NA,1,NA,2,6,1,1,2,2,1,2,5,7,1,2,1,3,1,1,3,3,10,1,4,11,1,1,10,1,NA,NA,NA,4,0,1,"He is a little sneaky but overall pretty nice. He's late to appointments and drinks a lot of beer. He's average smart, has a part time job and speaks English only.","Massachusetts ",1,"i'd expect him to be working his part time job at Ruby Tuesdays. If he's not there then you'll find him at home playing games on his wii.","Waiter at Ruby Tuesdays",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,2,1,2,1,2,1,2,1,1,1,3,1,1,1,5,1,2,1,2,1,3,1,3,1,1,1,3,1,3,1,1,1,3,"Weird that a different face popped up during the last part.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Default Response Set","Anonymous",NA,"72.208.225.137",0,"2012-09-27 18:32:22","2012-09-27 18:37:58",1,3939061,1,NA,24,1,2,2,NA,NA,NA,1,NA,2,3,1,2,2,2,1,2,5,7,1,4,2,1,1,1,1,2,9,1,25,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,9,1,NA,NA,NA,2,0,1,"25ish year old white male with brown hair and brown eyes.","usa",1,"college campus","waiter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,4,1,2,1,3,1,4,1,3,1,1,1,4,1,2,1,2,1,1,1,3,1,1,1,1,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Default Response Set","Anonymous",NA,"98.85.120.191",0,"2012-09-27 18:35:20","2012-09-27 18:47:49",1,5945447,1,NA,7,3,0,2,NA,NA,NA,1,NA,1,5,1,3,4,3,4,5,2,8,1,2,2,3,1,1,3,1,9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,1,1,NA,NA,NA,2,0,1,"This person is a young male with short brown hair and blue eyes.  His complexion is fair and he has a small amount of facial hair, indicating that he is probably 16-17.  He is wearing a blue shirt and a dark blue or black jacket.  He is not overweight, nor is he thin.","Florida",1,"I might expect to find this person walking home from the bus stop in my neighborhood after he gets out of high school, or perhaps working in the grocery store as a part-time employee.  He probably has a car, so I might see him driving with a couple of his friends as they go to attend a leisure activity at wherever kids hang out these days.","retail",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,2,1,2,1,2,1,4,1,3,1,2,1,3,1,3,1,4,1,3,1,1,1,4,1,3,1,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Default Response Set","Anonymous",NA,"67.249.143.93",0,"2012-09-27 20:11:59","2012-09-27 20:20:06",1,1271172,1,NA,9,6,10,2,1,NA,NA,NA,NA,2,2,1,2,3,2,1,2,5,7,1,2,2,4,1,1,1,1,1,1,10,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,15,1,NA,NA,NA,4,0,1,"he is a young white male.","usa",1,"in a store  shopping","stocks",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,NA,1,1,1,3
"39","Default Response Set","Anonymous",NA,"72.21.150.173",0,"2012-09-27 21:30:06","2012-09-27 21:38:47",1,4408610,1,NA,5,2,3,1,NA,NA,NA,NA,1,1,3,1,2,1,2,1,2,1,7,1,2,2,1,1,1,2,2,8,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,4,0,1,"She has long brown hair. She wears dark colored glasses. She has earrings. She has blue eyes. She has sort of bushy eyebrows. She has a wide jaw structure. She has a somewhat bigger nose. She does not have a widow's peak. ","Texas",1,"At a univesity or a public place, like a restaurant. ","A retail job.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,1,3,1,3,1,2,1,1,1,3,1,3,1,2,1,1,1,4,1,4,1,3,1,1,1,5,1,3,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Default Response Set","Anonymous",NA,"76.17.211.130",0,"2012-09-27 21:57:39","2012-09-27 22:07:33",1,1922083,1,NA,28,4,4,2,NA,NA,NA,1,NA,2,5,1,2,7,4,2,5,5,4,1,3,4,4,1,1,1,1,9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,4,0,1,"Curly medium brown hair, facial hair, brown eyes, oval face. Looks to be between 24 and 26. ","Decendants possibly from Italy or France. Maybe even a country such as Bosnia or Afghanastan. It's hard to tell with just a front face shot. ",1,"At school or working retail some place. He doesn't look very professional. ","Retail. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No comments except that when I saw the photos, they were all male except a hispanic-looking woman's face showed up on only one page. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,3,1,1,1,3,1,3,1,5,1,2,1,1,1,5,1,4,1,1,1,5,1,3,1,3,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Default Response Set","Anonymous",NA,"173.57.50.251",0,"2012-09-27 22:05:11","2012-09-27 22:12:35",1,9430069,1,NA,26,2,30,2,NA,NA,NA,1,NA,2,5,1,1,4,1,1,2,5,7,1,5,1,2,1,1,1,1,1,1,8,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,6,1,NA,NA,NA,4,0,1,"He's a handsome kid, a little on the serious side.  He looks clean cut and has sad eyes.","The US",1,"See him while I'm out shopping.","Average college job -- sales or something like it",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,3,1,2,1,3,1,1,1,4,1,1,1,1,1,3,1,3,1,5,1,4,1,3,1,1,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
